title,type,dates
Kiss Wood,Manhwa (2 vols),Jun 2010 - Jan 2011
Bokura no Hentai,Manga (10 vols),Mar 2012 - Dec 2015
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Manga (4 vols),Jul 2012 - Jan 2014
Clockwork Planet,Novel (? vols),Apr 2013 -
JoJo no Kimyou na Bouken,Novel (1 vols),Nov 1993 - Nov 1993
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Manga (? vols),Aug 2013 -
Mitou Shoukan://Blood Sign,Novel (10 vols),Sep 2014 - Jun 2019
Koi wa Ameagari no You ni,Manga (10 vols),Jun 2014 - Mar 2018
Classi9,Manga (5 vols),Apr 2015 - Apr 2017
Bokutachi ga Yarimashita,Manga (9 vols),Apr 2015 - Jan 2017
Shall we Have Dinner Tonight?,Manhwa (3 vols),Nov 2013 - Nov 2014
Hataraku Maou-sama! 0,Novel (? vols),Sep 2014 -
Ninja Shinobu-san no Junjou,Manga (5 vols),Nov 2014 - Apr 2017
Yumi's Cells,Manhwa (? vols),Apr 2015 -
Tennis no Ouji-sama,Manga (42 vols),Jul 1999 - Mar 2008
Shugo Chara!,Manga (12 vols),Dec 2005 - Aug 2010
I''s,Manga (15 vols),Apr 1997 - May 2000
Akuma to Love Song,Manga (13 vols),Dec 2006 - Apr 2011
Nazo no Kanojo X,Manga (12 vols),Aug 2004 - Sep 2014
Masca: The Tale of the Great Mage of Hessed,Manhwa (12 vols),1997 - 2004
Hareluya II: Boy,Manga (33 vols),Sep 1992 - Jan 1999
Ginga Tetsudou 999 (1996),Manga (7 vols),1996 - 2004
xxxHOLiC: AnotherHOLiC,Novel (1 vols),Aug 2006 - Aug 2006
Hare Yuku Sora,Manga (1 vols),Dec 2005 - Dec 2005
Poor Poor Lips,Manga (4 vols),Sep 2006 - Sep 2012
Suiiki,Manga (2 vols),Nov 2009 - Oct 2010
Ikumen☆After,Manga (2 vols),Nov 2010 - Apr 2014
Toaru Kagaku no Railgun SS,Novel (8 vols),Jan 2009 - Aug 2009
Ao no Exorcist,Novel (? vols),Sep 2011 -
Yokokuhan,Manga (3 vols),Jul 2011 - Aug 2013
Kidou Senshi Gundam Thunderbolt,Manga (? vols),Mar 2012 -
Hito Hitori Futari,Manga (8 vols),Nov 2011 - Aug 2013
Sherlock,Manga (? vols),Oct 2012 -
Handa-kun,Manga (7 vols),Oct 2013 - Sep 2016
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen,Manga (2 vols),Jun 2014 - Feb 2015
Kawaii Hito,Manga (? vols),Sep 2014 -
Gabriel DropOut,Manga (? vols),Dec 2013 -
The Abandoned Empress,Manhwa (? vols),Jun 2017 -
DOLL: IC in a Doll,Manga (6 vols),2000 - 2002
Koroshiya 1,Manga (10 vols),Feb 1998 - Apr 2001
Hot Blooded Woman,Manhwa (24 vols),Jan 2002 - Sep 2002
Daa! Daa! Daa!,Manga (9 vols),Feb 1998 - Mar 2002
Vitamin,Manga (1 vols),Aug 2001 - Oct 2001
Kokoro ni Hana wo!,Manga (2 vols),2003 - 2004
Wild Life,Manga (27 vols),Apr 2003 - Aug 2008
Me-gumi no Daigo,Manga (20 vols),Aug 1995 - Jun 1999
Dance in the Vampire Bund,Manga (14 vols),Dec 2005 - Sep 2012
Yumemiru Taiyou,Manga (10 vols),Oct 2007 - Aug 2011
Suzumiya Haruhi-chan no Yuuutsu,Manga (12 vols),Jul 2007 - Dec 2018
No Color,Manga (1 vols),Nov 2003 - Jun 2005
Kuroshitsuji Anthology Comic: Nijishitsuji,Manga (2 vols),Mar 2009 - Aug 2010
Gamaran,Manga (22 vols),May 2009 - Jun 2013
Summer Wars,Manga (3 vols),Jul 2009 - May 2010
Rain,Manga (? vols),Nov 2008 -
Sankarea,Manga (11 vols),Dec 2009 - Nov 2014
Sora to Hara,Manga (1 vols),Dec 2009 - Dec 2011
Rakuin no Monshou,Novel (12 vols),May 2008 - Oct 2012
Magico,Manga (8 vols),Feb 2011 - Aug 2012
Fate/Zero,Manga (14 vols),Dec 2010 - Jun 2017
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,Manga (? vols),Aug 2011 -
Nisekoi,Manga (25 vols),Nov 2011 - Aug 2016
Monster Musume no Iru Nichijou,Manga (? vols),Mar 2012 -
Biblia Koshodou no Jiken Techou,Novel (7 vols),Mar 2011 - Feb 2017
Pink,Manga (1 vols),1989 - 1989
Once Again,Manhua (1 vols),May 2012 - May 2012
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Manga (? vols),May 2014 -
Tsuki ga Michibiku Isekai Douchuu,Manga (? vols),Jun 2015 -
Boku to Kimi no Taisetsu na Hanashi,Manga (? vols),Aug 2015 -
Charlotte,Manga (6 vols),Jul 2015 - Dec 2018
Hanayome wa Motodanshi,Manga (1 vols),Feb 2016 - Feb 2016
Whistle!,Manga (24 vols),Feb 1998 - Oct 2002
Loveless,Manga (? vols),Nov 2001 -
Seiyou Kottou Yougashiten,Manga (4 vols),Apr 1999 - Jul 2002
Magical x Miracle,Manga (6 vols),Mar 2002 - Jan 2006
RG Veda,Manga (10 vols),1990 - 1996
Otomen,Manga (18 vols),Mar 2006 - Nov 2012
Yami no Matsuei,Manga (? vols),Mar 1994 -
The Bride of the Water God,Manhwa (24 vols),Oct 2007 - 2014
GunSmith Cats,Manga (8 vols),Dec 1990 - Apr 1997
Kyoushoku Soukou Guyver,Manga (? vols),Jan 1985 -
Bokkou,Manga (11 vols),Jan 1992 - Jul 1996
Kamichama Karin Chu,Manga (7 vols),Mar 2006 - Apr 2008
Kusatta Kyoushi no Houteishiki,Manga (10 vols),Dec 1993 - Jun 2002
Shiroi Kumo,Manga (1 vols),Nov 2004 - Nov 2004
CMB Shinra Hakubutsukan no Jiken Mokuroku,Manga (? vols),Sep 2005 -
Detective Conan,Novel (? vols),May 2005 -
Eden no Ori,Manga (21 vols),Nov 2008 - Jan 2013
Sukima-Shiki,Manga (1 vols),Oct 2008 -
Oyaji,Manga (3 vols),2000 - 2001
Bloody Monday Season 2: Pandora no Hako,Manga (8 vols),Oct 2009 - Apr 2011
Torikagosou no Kyou mo Nemutai Juunin-tachi,Manga (3 vols),2007 - 2011
Lovely Everywhere,Manhua (3 vols),2009 - 2010
Another,Manga (4 vols),Apr 2010 - Dec 2011
Denpa Kyoushi,Manga (26 vols),Nov 2011 - Mar 2017
Majo no Shinzou,Manga (8 vols),Mar 2012 - Jan 2016
Slow Starter,Manga (1 vols),Nov 2010 - Nov 2011
Les Misérables,Manga (8 vols),Sep 2013 - May 2016
Bloody†Mary,Manga (10 vols),Nov 2013 - Feb 2017
Kuro,Manga (3 vols),May 2011 - Jun 2016
Date A Live: Encore,Novel (? vols),Mar 2011 -
Chichi to Ko,Manga (10 vols),Apr 2013 - Mar 2018
Urami Koi Koi Urami Koi,Manga (? vols),Jun 2014 -
Gunnm: Kasei Senki,Manga (? vols),Oct 2014 -
Demi-chan wa Kataritai,Manga (? vols),Sep 2014 -
Bakemono no Ko,Manga (4 vols),Apr 2015 - Nov 2016
Smile Brush: My Old Pictures,Manhwa (1 vols),Jul 2010 - Jul 2011
Somali to Mori no Kamisama,Manga (? vols),Apr 2015 -
Maoujou de Oyasumi,Manga (? vols),May 2016 -
Sachi-iro no One Room,Manga (? vols),Sep 2016 -
Zettai Kareshi,Manga (6 vols),May 2003 - Oct 2004
Rekka no Honoo,Manga (33 vols),Mar 1995 - Oct 2002
Power!!,Manga (10 vols),Aug 1999 - 2002
Rosario to Vampire,Manga (10 vols),Jul 2004 - May 2007
Ingènuo,Manhua (15 vols),-
Koko ni Iru yo!,Manga (5 vols),Jun 2007 - Dec 2008
Touhou Bougetsushou: Silent Sinner in Blue,Manga (3 vols),Jul 2007 - Oct 2009
Shounen Dolls,Manga (4 vols),Feb 2008 - Aug 2011
Dear My Girls,Manhwa (9 vols),2005 - 2012
Ten no Ryuu Chi no Sakura,Manga (3 vols),Dec 2007 - Feb 2009
Kidou Senshi Gundam-san,Manga (? vols),Aug 2005 -
Nonnonbaa to Ore,Manga (2 vols),Aug 1992 - Oct 1992
Shinya Shokudou,Manga (? vols),Oct 2006 -
The Legend of the Sun Knight,Manhua (5 vols),2010 - 2015
Jinrui wa Suitai Shimashita,Novel (9 vols),May 2007 - Jun 2014
King Golf,Manga (? vols),Aug 2008 -
Koisome Momiji,Manga (4 vols),May 2012 - Nov 2012
Knight Run,Manhwa (? vols),May 2009 -
K: Days of Blue,Manga (2 vols),Oct 2013 - Jul 2014
QQ Sweeper,Manga (3 vols),Mar 2014 - May 2015
Senyuu: Main Quest Dai-1 Shou,Manga (3 vols),Aug 2013 - Apr 2014
Tsubasa: WoRLD CHRoNiCLE - Niraikanai-hen,Manga (3 vols),Aug 2014 - Mar 2016
Monte Cristo Hakushaku,Manga (1 vols),Oct 2014 - Sep 2015
Renai Ruby no Tadashii Furikata,Manga (1 vols),Mar 2014 - Jan 2015
Links,Manga (1 vols),Dec 2014 - Dec 2014
Sora no Otoshimono,Novel (2 vols),Feb 2010 - Oct 2010
Tensei shitara Ken deshita,Novel (? vols),Jul 2016 -
Hatsukoi,Manga (1 vols),Jul 2016 - Jul 2017
Zannen Onna Kanbu Black General-san,Manga (? vols),May 2015 -
Majo no Tabitabi,Novel (? vols),Apr 2016 -
Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga Dou Medereba Ii?,Novel (? vols),Feb 2017 -
Shin High School DxD,Novel (? vols),Jul 2018 -
Teito Seihai Kitan: Fate/type Redline,Manga (? vols),Dec 2019 -
Mondaiteiki Sakuhinshu,Manga (6 vols),2000 - 2002
Pumpkin Scissors,Manga (? vols),-2002
Shinsengumi Imon Peace Maker,Manga (6 vols),Apr 1999 - Aug 2001
Samurai Deeper Kyou,Manga (38 vols),May 1999 - May 2006
Dr Slump,Manga (18 vols),Jan 1980 - Aug 1984
Dolls,Manga (12 vols),Feb 2005 - Sep 2012
Suzumiya Haruhi no Yuuutsu,Manga (20 vols),Sep 2005 - Sep 2013
Can't Lose You,Manhwa (6 vols),-2003
Kimi wa Girlfriend,Manga (1 vols),Dec 2003 - Oct 2004
Meitantei Yumemizu Kiyoshirou Jiken Note,Manga (13 vols),-2004
GS Mikami Gokuraku Daisakusen!!,Manga (39 vols),Apr 1991 - Sep 1999
Otogimoyou Ayanishiki,Manga (5 vols),2005 - 2009
LifE,Manga (3 vols),Aug 1999 - Jul 2000
Bus Hashiru,Manga (1 vols),2005 - Apr 2007
Hyouge Mono,Manga (25 vols),Aug 2005 - Nov 2017
Ma Series,Novel (? vols),Nov 2000 -
Evyione,Manhwa (12 vols),2007 - 2013
Sengoku Strays,Manga (15 vols),Dec 2007 - Oct 2014
Aoi Kiseki,Manga (1 vols),2005 - 2005
Tekken Chinmi Legends,Manga (? vols),-2007
Bakuon Rettou,Manga (18 vols),Oct 2002 - Nov 2012
Fushigi na Shounen,Manga (? vols),Mar 2001 -
Ore no Imouto ga Konnani Kawaii Wake ga Nai,Novel (? vols),Aug 2008 -
Blood Lad,Manga (17 vols),Sep 2009 - Sep 2016
Dorabase: Doraemon Super Baseball Gaiden,Manga (23 vols),Aug 2000 - Sep 2011
Six Half,Manga (11 vols),Oct 2009 - Jan 2015
Haiyore! Nyaruko-san,Novel (12 vols),Apr 2009 - Mar 2014
Senobi no Housoku,Manga (1 vols),2009 - 2010
Kokoro Connect,Manga (5 vols),Oct 2010 - Aug 2013
Hana-kun to Koisuru Watashi,Manga (? vols),Apr 2011 -
Shounen Oujo,Manga (? vols),Jan 2011 -
JoJo's Bizarre Adventure: Over Heaven,Novel (1 vols),Dec 2011 - Dec 2011
Mahouka Koukou no Yuutousei,Manga (? vols),Apr 2012 -
Madame Petit,Manga (11 vols),Apr 2012 - Dec 2017
Ito Junji Kyoufu Manga Collection - Tunnel no Tan,Manga (1 vols),Feb 2001 -
Psycho-Pass,Novel (2 vols),Feb 2013 - Apr 2013
Kenrantaru Grande Scène,Manga (? vols),Jul 2013 -
Higurashi no Naku Koro ni Kai - Dai 4-wa: Matsuribayashi-hen,Novel (3 vols),Nov 2008 - Jan 2009
Bakemono no Ko,Novel (1 vols),Jul 2015 - Jul 2015
Mahou Shoujo Madoka★Magica: Majuu-hen,Manga (3 vols),Jun 2015 - Oct 2016
Kids Are All Right,Manhwa (2 vols),Jun 2014 - Jun 2014
Osomatsu-san,Manga (? vols),Jan 2016 -
Touhou Sangetsusei: Visionary Fairies in Shrine,Manga (3 vols),Jan 2016 - Sep 2019
Life So Happy,Manga (? vols),Apr 2016 -
Re:Zero kara Hajimeru Isekai Seikatsu Tanpenshuu,Novel (? vols),Apr 2014 -
Origin,Manga (10 vols),Sep 2016 - Feb 2019
Haru no Noroi,Manga (2 vols),Nov 2015 - Nov 2016
Please Take My Brother Away,Manhua (? vols),Jan 2016 -
Owari no Seraph: Ichinose Guren 16-sai no Catastrophe,Manga (? vols),Jun 2017 -
Kono Subarashii Sekai ni Shukufuku wo Extra: Ano Orokamono ni mo Kyakkou wo!,Novel (? vols),Aug 2017 -
Ijiranaide Nagatoro-san,Manga (? vols),Nov 2017 -
Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga Dou Medereba Ii?,Manga (? vols),Feb 2018 -
Aozora to Kumorizora,Manga (? vols),Aug 2016 -
Houkago Shounen Hanako-kun,Manga (? vols),Feb 2018 -
Vampire Game,Manga (15 vols),1996 - Sep 2004
Ginga Tetsudou 999,Manga (18 vols),Jan 1977 - Oct 1981
Nijigahara Holograph,Manga (1 vols),Nov 2003 - Dec 2005
BioMeat: Nectar,Manga (12 vols),Jan 2000 - Oct 2002
Tenkuu Seiryuu - Innocent Dragon,Manga (9 vols),2005 - 2005
24 Colors: Hatsukoi no Palette,Manga (1 vols),Feb 2008 - Apr 2008
Iguana no Musume,Manga (1 vols),Nov 1991 - Nov 1991
Sexy Commando Gaiden: Sugoi yo! Masaru-san,Manga (7 vols),Nov 1995 - Sep 1997
Kaze no Stigma,Novel (6 vols),Jan 2002 - Oct 2005
Tamashii no Futago,Manga (2 vols),Nov 2006 - Mar 2008
Defense Devil,Manga (10 vols),Apr 2009 - Jun 2011
Akuryou Series,Novel (8 vols),1989 - 1992
Natsu no Zenjitsu,Manga (5 vols),Nov 2008 - Jun 2014
Kanojo no Namida ga Yuki da Toshitara,Manga (1 vols),Aug 2004 - Dec 2009
Rurouni Kenshin: Yahiko's Battle,Novel (1 vols),Oct 1997 - Oct 1997
Mix,Manga (? vols),May 2012 -
Sekai no Owari no Encore,Novel (10 vols),Jul 2014 - May 2017
Nanatsu no Taizai: Edinburgh no Kyuuketsuki,Manga (3 vols),Jan 2015 - Mar 2015
Koiwazurai no Ellie,Manga (? vols),Jul 2015 -
Karin wo Idaita Shoujo,Novel (3 vols),Nov 2015 - May 2016
Dear Boy,Manhwa (? vols),Dec 2014 - Jul 2016
Kumika no Mikaku,Manga (6 vols),Aug 2015 - Jul 2018
IDOLiSH7: Trigger - Before the Radiant Glory,Manga (1 vols),Feb 2016 - Jun 2016
Re:Creators,Manga (? vols),Apr 2017 -
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka: Familiar Chronicle - Episode Ryu,Manga (6 vols),Feb 2017 - Oct 2018
Toaru Kagaku no Railgun Gaiden: Astral Buddy,Manga (? vols),Apr 2017 -
"Steins,Gate 0",Manga (? vols),Jul 2017 -
Hana ni Arashi,Manga (? vols),Nov 2017 -
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Hon no Tame nara Miko ni Naru!,Manga (? vols),Sep 2018 -
My Broken Mariko,Manga (1 vols),Jul 2019 - Dec 2019
GetBackers,Manga (39 vols),Mar 1999 - Feb 2007
Akachan to Boku,Manga (18 vols),May 1991 - Jun 1997
Na mo Naki Tori no Tobu Yoake,Manga (3 vols),2002 - 2004
Peter Pan♠Syndrome,Manga (2 vols),Dec 2004 - Sep 2005
H20,Manhwa (7 vols),-
I'll,Manga (14 vols),Nov 1995 - May 2004
Watashi no Messiah-sama,Manga (13 vols),Jan 2002 - Sep 2007
Itazura na Kiss,Manga (23 vols),May 1990 - Feb 1999
NanaKo Robin,Manga (3 vols),2008 - 2009
Issho ni Neyou yo,Manga (6 vols),Jun 2008 - Nov 2011
Koishitagari no Blue,Manga (6 vols),Aug 2007 - Jul 2009
Kara no Shounen,Manga (1 vols),2008 - 2008
Mahou Shoujo Lyrical Nanoha: Movie 1st the Comics,Manga (2 vols),2009 - 2009
Fushigi Yuugi Gaiden,Novel (13 vols),Jan 1998 - Sep 2003
Sakuranbo Syndrome - Cupid no Itazura II,Manga (11 vols),Jul 2006 - Jan 2009
Song of the Cloud,Manhwa (2 vols),Apr 2009 - Jun 2010
Machine-Doll wa Kizutsukanai,Manga (? vols),Nov 2010 -
Kara no Kyoukai: The Garden of Sinners,Manga (? vols),Nov 2010 -
Kingdom Hearts: 358/2 Days,Novel (3 vols),Jul 2009 - May 2010
Ohana Holoholo,Manga (6 vols),Sep 2008 - Dec 2013
Vahlia no Hanamuko,Manga (1 vols),Nov 2007 - Nov 2011
Haikei Niisan-sama,Manga (1 vols),2010 - Jan 2013
Prison School,Manga (28 vols),Feb 2011 - Dec 2017
Mawaru Penguindrum,Novel (3 vols),Jul 2011 - Feb 2012
Torikagosou no Kyou mo Nemutai Juunin-tachi,Novel (6 vols),Nov 2006 - Feb 2009
Reimei no Arcana: Hajimari no Toki,Novel (1 vols),Feb 2011 - Feb 2011
Ookami Shoujo to Kuro Ouji,Manga (16 vols),Jun 2011 - May 2016
Kamisama Gakuen@Armeria,Manga (12 vols),Jan 2012 - Oct 2015
Kobato Epilogue: Happiness,One-shot (? vols),Sep 2011 - Sep 2011
Beelzebub Maou Gaiden,Manga (1 vols),Oct 2003 - Aug 2011
Itou Junji Kyoufu Manga Collection 15: Hibito no Koiwazurai,Manga (1 vols),Apr 1996 - Oct 1996
Shiki no Zenjitsu,Manga (1 vols),Oct 2010 - Jun 2012
Sword Art Online Side Stories,Novel (2 vols),Oct 2012 - Jun 2013
Orenchi no Furo Jijou,Manga (? vols),Jun 2011 -
Futari no Renai Shoka,Manga (2 vols),Feb 2012 - Jul 2013
Ashita Boku wa Shinu Kimi wa Ikikaeru,Novel (3 vols),Feb 2013 - Oct 2013
Psycome,Novel (6 vols),Feb 2013 - Aug 2014
Kigurumi Guardians,Manga (? vols),Mar 2013 -
Isekai Mahou wa Okureteru!,Novel (? vols),Apr 2014 -
Higurashi no Naku Koro ni - Dai 4-wa: Himatsubushi-hen,Novel (1 vols),Feb 2008 - Feb 2008
Fairy Tail,Novel (? vols),May 2012 -
K: Countdown,Manga (2 vols),Dec 2014 - Jul 2015
Trace 15: Communicator,Manhwa (? vols),Dec 2011 - May 2012
Danchigai,Manga (? vols),Jun 2011 -
Hana to Hina wa Houkago,Manga (3 vols),Apr 2015 - Nov 2016
Radiation House,Manga (? vols),Oct 2015 -
Satsuriku no Tenshi,Manga (? vols),Oct 2015 -
Nogi Wakaba wa Yuusha de Aru,Manga (4 vols),Jun 2016 - Jan 2018
Ishuzoku Reviewers,Manga (? vols),Jul 2016 -
Sensei wa Koi wo Oshierarenai,Manga (? vols),Jun 2018 -
Mahou Shoujo ni Akogarete,Manga (? vols),Jan 2019 -
Bleach,Manga (74 vols),Aug 2001 - Aug 2016
Fushigi Yuugi,Manga (18 vols),May 1992 - Jul 1996
Sennen no Yuki,Manga (4 vols),Nov 2000 - Dec 2013
Shakugan no Shana,Manga (10 vols),Feb 2005 - Aug 2011
Densha Otoko: Demo Ore Tabidatsu yo,Manga (3 vols),Jan 2005 - Feb 2006
Inubaka,Manga (22 vols),Sep 2004 - Apr 2010
Muhyo to Rouji no Mahouritsu Soudan Jimusho,Manga (18 vols),Nov 2004 - Mar 2008
Minami-ke,Manga (? vols),Nov 2004 -
Midnight Secretary,Manga (7 vols),Sep 2006 - Jun 2009
Hotman,Manga (15 vols),1994 - 1999
Private Prince,Manga (5 vols),2005 - 2007
Ayako,Manga (2 vols),Jan 1972 - Jun 1973
Change 123,Manga (12 vols),Jun 2005 - Apr 2010
Ginga Densetsu Riki,Manga (1 vols),2000 - 2003
Kurenai Ouji,Manga (? vols),Apr 2007 -
GA: Geijutsuka Art Design Class,Manga (7 vols),Jul 2004 - Dec 2015
Sekitou Elegy,Manga (15 vols),Mar 2004 - May 2008
Dear Green,One-shot (? vols),Oct 2007 - Oct 2007
Sekine-kun no Koi,Manga (5 vols),May 2009 - Jul 2014
Kimi no Knife,Manga (10 vols),Jul 2009 - Apr 2013
Conductor,Manga (4 vols),Jun 2010 - May 2011
AKB49: Renai Kinshi Jourei,Manga (29 vols),Aug 2010 - Jan 2016
Sore wa Totsuzen Unmei no Aite ga,Manga (4 vols),Sep 2010 - Aug 2012
Natsu no Kakera,Manga (1 vols),2010 - 2010
Love Lab,Manga (? vols),Oct 2006 -
Dendrobates,Manga (6 vols),Jul 2006 - Dec 2008
Ad Astra: Scipio to Hannibal,Manga (13 vols),Mar 2011 - Jan 2018
Toaru Majutsu no Index SS: Norse Mythology,Novel (1 vols),Jan 2010 - Aug 2010
Crayon Days: Daikirai na Aitsu,Manga (4 vols),Nov 2011 - Feb 2013
Hanazakari no Kimitachi e: Special-hen,One-shot (? vols),Nov 2004 - Nov 2004
Lovely★Complex Two,Manga (1 vols),Apr 2009 - Jul 2012
Gu Fang Bu Zi Shang,Manhua (2 vols),2010 - 2011
Intellectual Village no Zashiki Warashi,Novel (9 vols),May 2012 - Dec 2015
Crows Zero II: Suzuran x Housen,Manga (11 vols),Jun 2012 - Sep 2016
Crepuscule,Manhwa (? vols),Feb 2011 - Oct 2016
RiN,Manga (14 vols),Dec 2012 - Apr 2016
Momochi-san Chi no Ayakashi Ouji,Manga (16 vols),Feb 2013 - Aug 2019
Itsuya-san,Manga (2 vols),Nov 2011 - Sep 2013
Trace,Manga (4 vols),Mar 2011 - May 2012
Kujira no Kora wa Sajou ni Utau,Manga (? vols),Jun 2013 -
Mahou Shoujo Homura★Tamura: Heikou Sekai ga Itsumo Heikou de Aru to wa Kagiranai no da,Manga (3 vols),Jun 2012 - Oct 2016
The☆Doraemons Special,Manga (12 vols),1996 - 2002
Higurashi no Naku Koro ni Kai - Dai 1-wa: Meakashi-hen,Novel (2 vols),May 2008 - Jun 2008
Kid I Ruck!,Manga (3 vols),Jun 2012 - Jun 2013
Kuro Hakushaku wa Hoshi wo Mederu,Manga (12 vols),Dec 2013 - Apr 2018
Ano Ko ni Kiss to Shirayuri wo,Manga (10 vols),Nov 2013 - Feb 2019
Kuchibiru ni Kimi no Iro,Manga (2 vols),Oct 2014 - Oct 2015
Shigatsu wa Kimi no Uso: Coda,Manga (1 vols),Feb 2015 - Oct 2015
Hirunaka no Ryuusei Bangai-hen,Manga (1 vols),Apr 2008 - Apr 2015
Kekkon shitemo Koishiteru,Manga (3 vols),Aug 2015 - Mar 2017
City,Manga (? vols),Sep 2016 -
Akarui Kioku Soushitsu,Manga (? vols),Jun 2016 -
Ragna Crimson,Manga (? vols),Mar 2017 -
Shadows House,Manga (? vols),Sep 2018 -
Kimetsu no Yaiba: Tomioka Giyuu Gaiden,Manga (? vols),Apr 2019 - Apr 2019
7 Seeds Gaiden,Manga (1 vols),Aug 2017 - Oct 2017
Iya na Kao sare nagara Opantsu Misete Moraitai: Yo wa Pantsu ga Mitai zo,Manga (? vols),May 2019 -
Kubo-san wa Mob wo Yurusanai,Manga (? vols),Oct 2019 -
Death Note: Tokubetsu Yomikiri,One-shot (? vols),Feb 2020 - Feb 2020
Sousou no Frieren,Manga (? vols),Apr 2020 -
Pretty Face,Manga (6 vols),May 2002 - Jun 2003
Clover,Manga (4 vols),1997 - 1999
Zipang,Manga (43 vols),Jul 2000 - Nov 2009
Chou ni Naru Hi,Manga (1 vols),Jul 2003 - Jul 2003
Harlem Beat,Manga (29 vols),Jul 1994 - Jan 2000
Zelda no Densetsu: Toki no Ocarina,Manga (2 vols),Feb 2000 - May 2000
Shamo,Manga (34 vols),1998 - Jan 2015
Yamada Tarou Monogatari,Manga (15 vols),Apr 1996 - Dec 2000
Stigma,Manga (1 vols),1999 - 2000
Saruyama!,Manga (8 vols),Aug 2004 - Feb 2008
Hoshi wa Utau,Manga (11 vols),Jun 2007 - Jan 2011
Immortal Regis,Manhwa (6 vols),2006 - 2008
Venus Capriccio,Manga (5 vols),Nov 2006 - Sep 2008
Sketchbook,Manga (? vols),Feb 2002 -
Shin Getter Robo,Manga (2 vols),1996 - 1999
Otome Youkai Zakuro,Manga (? vols),Apr 2006 -
Teppuu,Manga (8 vols),Nov 2008 - Jul 2015
S・L・H,Manga (5 vols),May 2008 - Jul 2010
Mahou Shoujo Lyrical Nanoha ViVid,Manga (20 vols),May 2009 - Oct 2017
Dokuhime,Manga (5 vols),Oct 2002 - Oct 2012
A*D: Tenshi no Uso,Manga (? vols),May 2008 - 2012
Nageku Shinigami,One-shot (? vols),Sep 2008 - Sep 2008
L♥DK,Manga (24 vols),Feb 2009 - Aug 2017
Denpa-teki na Kanojo,Novel (3 vols),Sep 2004 - Jul 2005
Namida Usagi: Seifuku no Kataomoi,Manga (10 vols),Aug 2009 - Feb 2012
Boku wa Tomodachi ga Sukunai,Manga (? vols),Mar 2010 -
Usotsuki Lily,Manga (17 vols),Nov 2009 - May 2014
Yume no Shizuku Kin no Torikago,Manga (? vols),May 2010 -
Mikado no Shihou,Manga (7 vols),Dec 2004 - Jun 2014
Mikakunin de Shinkoukei,Manga (? vols),Apr 2009 -
Boku wa Tomodachi ga Sukunai,Novel (11 vols),Aug 2009 - Aug 2015
Clematica Kutsuten,Manga (1 vols),Oct 2009 - Feb 2011
Ginga Nagareboshi Gin Shin Gaiden,Manga (2 vols),Jun 2009 - Oct 2010
Hibi Chouchou,Manga (12 vols),Feb 2012 - Aug 2015
Yuureitou,Manga (9 vols),May 2010 - Oct 2014
Shuuen no Shiori,Novel (4 vols),Feb 2013 - Jul 2014
Birdmen,Manga (16 vols),Jul 2013 - Feb 2020
Kishibe Rohan wa Ugokanai,Manga (? vols),Jun 1997 -
"""Fushigi"" Toriatsukaimasu: Tsukumodou Kottouten",Novel (7 vols),Oct 2006 - Mar 2010
Sankarea: All Night Rea Long,Novel (1 vols),Jul 2013 - Jul 2013
Re:Monster,Manga (? vols),Mar 2014 -
Shitayomi Danshi to Toukou Joshi,Novel (1 vols),Jun 2015 - Jun 2015
"Isekai Izakaya ""Nobu""",Manga (? vols),Jul 2015 -
Kuzumi-kun Kuuki Yometemasu ka?,Manga (8 vols),Mar 2015 - Jun 2019
Emiya-san Chi no Kyou no Gohan,Manga (? vols),Jan 2016 -
Joshikousei no Mudazukai,Manga (? vols),Nov 2014 -
Gunjou no Subete,Manga (1 vols),Nov 2014 - Aug 2015
Tatoe Todokanu Ito da toshitemo,Manga (? vols),Nov 2016 -
Aharen-san wa Hakarenai,Manga (? vols),Jan 2017 -
Date A Live Fragments: Date A Bullet,Novel (? vols),Mar 2017 -
Angel Beats!: The Last Operation,Manga (? vols),Aug 2017 -
Uramichi Oniisan,Manga (? vols),May 2017 -
Suki na Ko ga Megane wo Wasureta,Manga (? vols),Nov 2018 -
Karasugaoka Don't Be Shy!!,Manga (1 vols),Jun 2018 - Nov 2018
Marmalade Boy,Manga (8 vols),May 1992 - Oct 1995
Gravitation,Manga (12 vols),1996 - 2002
Magic Knight Rayearth 2,Manga (3 vols),Feb 1995 - Mar 1996
DVD,Manhwa (8 vols),Dec 2003 - Dec 2005
Hellsing: The Dawn,Manga (? vols),2001 - Feb 2006
Take Moon,Manga (2 vols),Jul 2002 - Sep 2005
Venus wa Kataomoi,Manga (12 vols),Nov 1999 - Jul 2004
