title,type,dates
Ao Haru Ride,Novel (6 vols),Dec 2011 - Jun 2015
Fate/kaleid liner Prisma☆Illya 3rei!!,Manga (? vols),May 2012 -
Berserk: Shinen no Kami 2,One-shot (? vols),Jul 1996 - Jul 1996
Orange,Novel (3 vols),Jul 2015 - Mar 2016
Kaichou wa Maid-sama!: Marriage,Manga (1 vols),Nov 2013 - Apr 2018
Tokyo卍Revengers,Manga (? vols),Mar 2017 -
Fushigi Neko no Kyuu-chan,Manga (? vols),Jan 2018 -
Bishoujo Senshi Sailor Moon,Manga (18 vols),Dec 1991 - Feb 1997
Shonan Junai Gumi!,Manga (31 vols),Sep 1990 - Sep 1996
Shingetsutan Tsukihime,Manga (10 vols),Aug 2003 - Jul 2010
NG Life,Manga (9 vols),Feb 2006 - Mar 2009
Sengoku Youko,Manga (17 vols),Dec 2007 - May 2016
Zankoku na Kami ga Shihai suru,Manga (17 vols),May 1992 - May 2001
Diamond no Ace,Manga (47 vols),May 2006 - Jul 2015
Ultra Heaven,Manga (? vols),Jun 2001 -
Saiki Kusuo no Ψ-nan,Manga (26 vols),May 2012 - Jul 2018
Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori,Novel (1 vols),Sep 2011 - Sep 2011
xxxHOLiC: Rei,Manga (? vols),Mar 2013 -
Tate no Yuusha no Nariagari,Novel (? vols),Aug 2013 -
Re:Zero kara Hajimeru Isekai Seikatsu Ex,Novel (? vols),Jun 2015 -
Wind Breaker,Manhwa (? vols),Dec 2013 -
Dr Stone,Manga (? vols),Mar 2017 -
Kareshi Kanojo no Jijou,Manga (21 vols),Dec 1995 - May 2005
Yuu☆Yuu☆Hakusho,Manga (19 vols),Nov 1990 - Jul 1994
God Child,Manga (8 vols),May 2001 - Oct 2003
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Manga (17 vols),Nov 1995 - Mar 1999
Girl Friends,Manga (5 vols),Oct 2006 - Aug 2010
Rosario to Vampire: Season II,Manga (14 vols),Nov 2007 - Apr 2014
Oresama Teacher,Manga (29 vols),Jul 2007 - Feb 2020
Baby Steps,Manga (47 vols),Oct 2007 - Nov 2017
Beelzebub,Manga (28 vols),Feb 2009 - Mar 2015
Full Metal Panic!,Novel (12 vols),Sep 1998 - Aug 2011
Dai Densetsu no Yuusha no Densetsu,Novel (? vols),Oct 2007 -
Bokura wa Minna Kawai-sou,Manga (11 vols),Apr 2010 - May 2018
Ouran Koukou Host Club University Special,Manga (? vols),Jul 2011 - Aug 2011
Gochuumon wa Usagi desu ka?,Manga (? vols),Jan 2011 -
Helck,Manga (12 vols),May 2014 - Dec 2017
Totsukuni no Shoujo,Manga (? vols),Sep 2015 -
Shuumatsu no Walküre,Manga (? vols),Nov 2017 -
